time,yvonne,christina,charles,jonathan
2013-04-27T17:46:19,0,0,0,0
2013-04-27T17:46:20,0,0,0,0
2013-04-27T17:46:21,0,0,0,0
2013-04-27T17:46:22,0,0,0,0
2013-04-27T17:46:23,0,0,0,0
2013-04-27T17:46:24,2,0,0,0
2013-04-27T17:46:25,3,2,0,0
2013-04-27T17:46:26,3,7,2,0
2013-04-27T17:46:27,3,6,2,0
2013-04-27T17:46:28,3,6,2,0
2013-04-27T17:46:29,4,6,2,0
2013-04-27T17:46:30,3,6,2,0
2013-04-27T17:46:31,3,6,0,0
2013-04-27T17:46:32,3,6,0,0
2013-04-27T17:46:33,3,6,2,0
2013-04-27T17:46:34,3,6,2,0
2013-04-27T17:46:35,0,6,2,0
2013-04-27T17:46:36,0,6,2,0
2013-04-27T17:46:37,0,6,2,0
2013-04-27T17:46:38,0,6,0,0
2013-04-27T17:46:39,0,6,0,0
2013-04-27T17:46:40,3,6,0,0
2013-04-27T17:46:41,3,6,2,0
2013-04-27T17:46:42,3,6,2,0
2013-04-27T17:46:43,3,6,2,0
2013-04-27T17:46:44,2,6,2,0
2013-04-27T17:46:45,3,4,2,2
2013-04-27T17:46:46,3,6,0,2
2013-04-27T17:46:47,3,4,2,2
2013-04-27T17:46:48,2,6,2,2
2013-04-27T17:46:49,4,6,2,2
2013-04-27T17:46:50,2,6,2,2
2013-04-27T17:46:51,2,4,2,2
2013-04-27T17:46:52,2,4,0,0
2013-04-27T17:46:53,2,4,2,0
2013-04-27T17:46:54,3,4,2,0
2013-04-27T17:46:55,3,4,2,2
2013-04-27T17:46:56,3,4,2,2
2013-04-27T17:46:57,3,7,2,2
2013-04-27T17:46:58,3,4,0,2
2013-04-27T17:46:59,2,4,2,2
2013-04-27T17:47:00,2,4,2,2
2013-04-27T17:47:01,2,4,2,2
2013-04-27T17:47:02,2,4,2,2
2013-04-27T17:47:03,0,4,2,2
2013-04-27T17:47:04,2,4,2,0
2013-04-27T17:47:05,3,4,2,0
2013-04-27T17:47:06,3,4,2,0
2013-04-27T17:47:07,3,4,2,0
2013-04-27T17:47:08,3,7,2,2
2013-04-27T17:47:09,4,7,2,2
2013-04-27T17:47:10,3,7,2,2
2013-04-27T17:47:11,3,7,2,2
2013-04-27T17:47:12,3,4,2,2
2013-04-27T17:47:13,3,4,2,2
2013-04-27T17:47:14,2,0,2,2
2013-04-27T17:47:15,4,0,2,2
2013-04-27T17:47:16,4,7,2,0
2013-04-27T17:47:17,4,7,2,0
2013-04-27T17:47:18,1,7,2,0
2013-04-27T17:47:19,4,7,2,0
2013-04-27T17:47:20,4,7,2,0
2013-04-27T17:47:21,4,0,2,0
2013-04-27T17:47:22,4,0,2,2
2013-04-27T17:47:23,4,0,2,2
2013-04-27T17:47:24,4,5,2,2
2013-04-27T17:47:25,4,5,2,2
2013-04-27T17:47:26,4,7,2,2
2013-04-27T17:47:27,4,7,2,2
2013-04-27T17:47:28,4,7,2,2
2013-04-27T17:47:29,4,4,2,2
2013-04-27T17:47:30,4,4,2,2
2013-04-27T17:47:31,4,4,2,2
2013-04-27T17:47:32,4,0,2,2
2013-04-27T17:47:33,3,0,2,0
2013-04-27T17:47:34,3,0,2,0
2013-04-27T17:47:35,3,2,2,2
2013-04-27T17:47:36,3,2,2,2
2013-04-27T17:47:37,2,2,2,7
2013-04-27T17:47:38,2,2,2,7
2013-04-27T17:47:39,2,2,2,7
2013-04-27T17:47:40,4,2,2,7
2013-04-27T17:47:41,4,2,2,7
2013-04-27T17:47:42,4,2,2,8
2013-04-27T17:47:43,3,0,2,7
2013-04-27T17:47:44,4,2,2,7
2013-04-27T17:47:45,3,2,2,7
2013-04-27T17:47:46,3,2,2,7
2013-04-27T17:47:47,3,1,2,8
2013-04-27T17:47:48,4,2,2,0
2013-04-27T17:47:49,4,2,2,2
2013-04-27T17:47:50,4,2,2,2
2013-04-27T17:47:51,4,2,2,2
2013-04-27T17:47:52,4,2,2,2
2013-04-27T17:47:53,4,2,2,2
2013-04-27T17:47:54,4,2,2,2
2013-04-27T17:47:55,4,2,2,2
2013-04-27T17:47:56,4,2,2,2
2013-04-27T17:47:57,4,2,2,0
2013-04-27T17:47:58,4,2,2,0
2013-04-27T17:47:59,4,2,2,0
2013-04-27T17:48:00,4,2,2,2
2013-04-27T17:48:01,4,2,2,2
2013-04-27T17:48:02,4,2,2,2
2013-04-27T17:48:03,4,2,2,2
2013-04-27T17:48:04,4,2,2,2
2013-04-27T17:48:05,4,2,2,2
2013-04-27T17:48:06,4,2,2,2
2013-04-27T17:48:07,4,2,2,0
2013-04-27T17:48:08,3,2,2,0
2013-04-27T17:48:09,1,2,2,0
2013-04-27T17:48:10,3,2,2,0
2013-04-27T17:48:11,3,2,2,0
2013-04-27T17:48:12,4,2,2,0
2013-04-27T17:48:13,4,1,2,0
2013-04-27T17:48:14,2,1,2,0
2013-04-27T17:48:15,2,7,2,0
2013-04-27T17:48:16,2,7,2,0
2013-04-27T17:48:17,4,7,2,0
2013-04-27T17:48:18,4,7,2,0
2013-04-27T17:48:19,3,4,2,0
2013-04-27T17:48:20,4,4,2,0
2013-04-27T17:48:21,4,2,2,0
2013-04-27T17:48:22,2,2,2,0
2013-04-27T17:48:23,2,2,2,0
2013-04-27T17:48:24,2,2,2,0
2013-04-27T17:48:25,2,2,2,0
2013-04-27T17:48:26,2,2,2,0
2013-04-27T17:48:27,2,2,2,0
2013-04-27T17:48:28,2,2,2,0
2013-04-27T17:48:29,2,2,2,0
2013-04-27T17:48:30,2,2,2,2
2013-04-27T17:48:31,2,2,2,2
2013-04-27T17:48:32,1,2,1,2
2013-04-27T17:48:33,1,2,1,2
2013-04-27T17:48:34,2,2,1,2
2013-04-27T17:48:35,2,2,1,2
2013-04-27T17:48:36,1,1,1,2
2013-04-27T17:48:37,2,1,2,0
2013-04-27T17:48:38,1,1,2,0
2013-04-27T17:48:39,2,2,2,0
2013-04-27T17:48:40,1,2,2,0
2013-04-27T17:48:41,1,2,2,0
2013-04-27T17:48:42,1,2,2,0
2013-04-27T17:48:43,1,2,2,0
2013-04-27T17:48:44,2,2,2,0
2013-04-27T17:48:45,2,2,2,0
2013-04-27T17:48:46,1,2,2,0
2013-04-27T17:48:47,2,2,2,0
2013-04-27T17:48:48,1,2,2,0
2013-04-27T17:48:49,1,2,2,2
2013-04-27T17:48:50,1,2,2,2
2013-04-27T17:48:51,1,2,2,2
2013-04-27T17:48:52,1,2,2,2
2013-04-27T17:48:53,1,2,2,2
2013-04-27T17:48:54,1,2,2,2
2013-04-27T17:48:55,1,2,2,2
2013-04-27T17:48:56,2,2,2,2
2013-04-27T17:48:57,2,2,2,2
2013-04-27T17:48:58,2,2,2,2
2013-04-27T17:48:59,1,2,2,2
2013-04-27T17:49:00,1,2,2,2
2013-04-27T17:49:01,1,2,2,2
2013-04-27T17:49:02,1,2,2,2
2013-04-27T17:49:03,1,2,2,2
2013-04-27T17:49:04,1,2,2,2
2013-04-27T17:49:05,1,2,2,2
2013-04-27T17:49:06,1,2,2,2
2013-04-27T17:49:07,1,2,2,2
2013-04-27T17:49:08,1,2,2,2
2013-04-27T17:49:09,1,2,2,2
2013-04-27T17:49:10,1,2,2,2
2013-04-27T17:49:11,1,2,2,2
2013-04-27T17:49:12,1,2,2,2
2013-04-27T17:49:13,1,2,2,2
2013-04-27T17:49:14,1,2,2,2
2013-04-27T17:49:15,2,2,2,2
2013-04-27T17:49:16,2,2,2,2
2013-04-27T17:49:17,2,2,1,2
2013-04-27T17:49:18,2,2,1,2
2013-04-27T17:49:19,2,2,8,2
2013-04-27T17:49:20,2,2,8,2
2013-04-27T17:49:21,2,2,8,2
2013-04-27T17:49:22,2,2,8,2
2013-04-27T17:49:23,2,2,8,2
2013-04-27T17:49:24,2,2,8,2
2013-04-27T17:49:25,2,2,8,2
2013-04-27T17:49:26,2,2,8,2
2013-04-27T17:49:27,2,2,8,2
2013-04-27T17:49:28,2,2,8,2
2013-04-27T17:49:29,2,2,8,2
2013-04-27T17:49:30,2,2,8,2
2013-04-27T17:49:31,2,2,8,2
2013-04-27T17:49:32,2,2,8,2
2013-04-27T17:49:33,1,2,8,2
2013-04-27T17:49:34,1,2,8,2
2013-04-27T17:49:35,1,2,8,2
2013-04-27T17:49:36,1,2,8,2
2013-04-27T17:49:37,1,2,8,2
2013-04-27T17:49:38,1,2,8,2
2013-04-27T17:49:39,1,2,8,2
2013-04-27T17:49:40,1,2,8,2
2013-04-27T17:49:41,1,2,8,2
2013-04-27T17:49:42,1,2,8,2
2013-04-27T17:49:43,1,2,8,2
2013-04-27T17:49:44,1,2,8,2
2013-04-27T17:49:45,1,1,8,2
2013-04-27T17:49:46,1,1,8,2
2013-04-27T17:49:47,1,1,8,2
2013-04-27T17:49:48,1,1,8,2
2013-04-27T17:49:49,1,1,8,1
2013-04-27T17:49:50,1,1,8,2
2013-04-27T17:49:51,1,1,8,2
2013-04-27T17:49:52,1,1,8,2
2013-04-27T17:49:53,1,2,8,2
2013-04-27T17:49:54,1,1,8,2
2013-04-27T17:49:55,1,1,8,2
2013-04-27T17:49:56,1,1,8,2
2013-04-27T17:49:57,1,1,8,2
2013-04-27T17:49:58,1,1,8,2
2013-04-27T17:49:59,1,1,8,2
2013-04-27T17:50:00,1,1,8,2
2013-04-27T17:50:01,1,1,8,2
2013-04-27T17:50:02,1,1,8,2
2013-04-27T17:50:03,1,1,8,2
2013-04-27T17:50:04,1,1,8,2
2013-04-27T17:50:05,1,1,4,2
2013-04-27T17:50:06,1,1,4,2
2013-04-27T17:50:07,1,1,4,2
2013-04-27T17:50:08,1,1,4,2
2013-04-27T17:50:09,1,1,4,2
2013-04-27T17:50:10,1,1,4,2
2013-04-27T17:50:11,1,1,4,2
2013-04-27T17:50:12,1,1,6,2
2013-04-27T17:50:13,1,1,6,1
2013-04-27T17:50:14,1,2,6,1
2013-04-27T17:50:15,1,2,6,7
2013-04-27T17:50:16,1,2,6,7
2013-04-27T17:50:17,1,0,6,7
2013-04-27T17:50:18,1,0,6,7
2013-04-27T17:50:19,1,0,6,7
2013-04-27T17:50:20,1,0,6,7
2013-04-27T17:50:21,1,0,6,4
2013-04-27T17:50:22,1,0,4,4
2013-04-27T17:50:23,1,0,4,4
2013-04-27T17:50:24,1,0,4,6
2013-04-27T17:50:25,1,0,4,6
2013-04-27T17:50:26,1,0,4,6
2013-04-27T17:50:27,1,0,4,6
2013-04-27T17:50:28,1,0,0,6
2013-04-27T17:50:29,1,0,0,6
2013-04-27T17:50:30,1,0,0,6
2013-04-27T17:50:31,1,0,0,6
2013-04-27T17:50:32,1,0,0,6
2013-04-27T17:50:33,1,0,0,6
2013-04-27T17:50:34,1,0,0,6
2013-04-27T17:50:35,1,0,0,6
2013-04-27T17:50:36,1,0,0,6
2013-04-27T17:50:37,1,0,0,6
2013-04-27T17:50:38,2,0,0,6
2013-04-27T17:50:39,2,0,0,6
2013-04-27T17:50:40,2,0,0,6
2013-04-27T17:50:41,2,0,0,6
2013-04-27T17:50:42,2,0,0,6
2013-04-27T17:50:43,2,0,0,6
2013-04-27T17:50:44,2,0,0,6
2013-04-27T17:50:45,2,0,0,6
2013-04-27T17:50:46,2,0,0,6
2013-04-27T17:50:47,2,0,0,6
2013-04-27T17:50:48,2,0,8,6
2013-04-27T17:50:49,2,0,8,6
2013-04-27T17:50:50,2,0,7,6
2013-04-27T17:50:51,2,0,7,6
2013-04-27T17:50:52,2,0,6,6
2013-04-27T17:50:53,2,0,6,6
2013-04-27T17:50:54,2,0,6,6
2013-04-27T17:50:55,2,0,6,6
2013-04-27T17:50:56,2,0,6,6
2013-04-27T17:50:57,2,0,6,6
2013-04-27T17:50:58,2,7,6,6
2013-04-27T17:50:59,2,4,6,6
2013-04-27T17:51:00,2,4,6,6
2013-04-27T17:51:01,2,4,6,6
2013-04-27T17:51:02,2,4,6,6
2013-04-27T17:51:03,0,3,6,6
2013-04-27T17:51:04,0,0,6,6
2013-04-27T17:51:05,0,0,6,6
2013-04-27T17:51:06,0,0,6,6
2013-04-27T17:51:07,0,0,4,6
2013-04-27T17:51:08,0,0,4,6
2013-04-27T17:51:09,0,0,4,6
2013-04-27T17:51:10,0,0,6,6
2013-04-27T17:51:11,0,0,6,6
2013-04-27T17:51:12,0,0,6,6
2013-04-27T17:51:13,0,0,6,6
2013-04-27T17:51:14,2,0,6,6
2013-04-27T17:51:15,2,0,6,6
2013-04-27T17:51:16,2,0,4,6
2013-04-27T17:51:17,2,0,4,6
2013-04-27T17:51:18,2,0,8,6
2013-04-27T17:51:19,0,0,4,6
2013-04-27T17:51:20,0,0,4,6
2013-04-27T17:51:21,0,0,4,6
2013-04-27T17:51:22,2,0,6,6
2013-04-27T17:51:23,0,0,6,6
2013-04-27T17:51:24,0,0,4,6
2013-04-27T17:51:25,0,0,6,6
2013-04-27T17:51:26,0,0,4,6
2013-04-27T17:51:27,2,0,6,6
2013-04-27T17:51:28,2,0,6,6
2013-04-27T17:51:29,2,0,6,6
2013-04-27T17:51:30,2,2,6,6
2013-04-27T17:51:31,2,2,6,6
2013-04-27T17:51:32,2,6,6,6
2013-04-27T17:51:33,0,6,6,6
